,county,price,house_type,house_address
0,carlow,279000, Detached House,"Type D - one off house no.7, Rathillion, Killeshin, Killeshin, Co. Carlow"
1,carlow,155000, Terraced House,"9 Woodbrook Place Green lane, Carlow Town, Co. Carlow"
2,carlow,155000, End of Terrace House,"8 Woodbrook Place Green Lane, Carlow Town, Co. Carlow"
3,carlow,85000, Terraced House,"14 Little Barrack Street, Carlow, Carlow Town, Co. Carlow"
4,carlow,198000, Detached House,"Bracken Killeshin Carlow, Killeshin, Co. Carlow"
5,carlow,125000, Terraced House,"19 Pairc Mhuire, Tullow, Co. Carlow"
6,carlow,200000, Semi-Detached House,"Sandhills, Hacketstown Road, Carlow Town, Co. Carlow"
7,carlow,179950, Semi-Detached House,"20 Friars Green, Tullow Road, Carlow Town, Co. Carlow"
8,carlow,140000, Semi-Detached House,"1 Roncalli Place, Green Road, Carlow Town, Co. Carlow"
9,carlow,179000, Detached House,"25 Cuanahowan, Tullow, Co. Carlow"
10,carlow,185000, Semi-Detached House,"28 Springdale, Tullow Road, Carlow Town, Co. Carlow"
11,carlow,375000, Detached House,"Straboe Castle Straboe Killerig Co. Carlow, Killerig, Co. Carlow"
12,carlow,167500, Semi-Detached House,"29 Woodglade, Fenagh, Co. Carlow"
13,carlow,105000, Terraced House,"6 The Laurels, Tullow Road, Carlow Town, Co. Carlow"
14,carlow,167500, Semi-Detached House,"29 Woodglade, Fenagh, Carlow Town, Co. Carlow"
15,carlow,282500, Detached House,"House Type F, Cluain Buí, Quinagh, Carlow, Carlow Town, Co. Carlow"
16,carlow,275000, Detached House,"Milford Park, Ballinabranagh, Co. Carlow"
17,carlow,365000, Detached House,"Coolroe, Ardattin, Co. Carlow"
18,carlow,250000, Detached House,"44 Ard Bhile, Rathvilly, Co. Carlow"
19,carlow,250000, Detached House,"The Gatekeepers Poachers Gate Carlow, Carlow Town, Co. Carlow"
20,carlow,170000, Semi-Detached House,"13 Rochfort Manor, Leighlin Road, Carlow, Carlow Town, Co. Carlow"
21,carlow,210000, Semi-Detached House,"47 Sandhills, Hacketstown Road, Carlow Town, Co. Carlow"
22,carlow,140000, Detached House,"Main Street, Hacketstown, Co. Carlow"
23,carlow,180000, Semi-Detached House,"Rochfort Manor Leighlin Road, Graiguecullen, Co. Carlow"
24,carlow,140000, End of Terrace House,"118 JKL Avenue, Pollerton Road, Carlow, Carlow Town, Co. Carlow"
25,carlow,93000, Terraced House,"33 Bramble Court, Tullow, Co. Carlow"
26,carlow,70000, Detached House,"Tobinstown, Tullow, Co. Carlow"
27,carlow,179500, Semi-Detached House,"24 Ashfield, Black Bog Road R93 W6N1, Carlow Town, Co. Carlow"
28,carlow,375000, Detached House,"The Castle, Straboe, Killerig, Co. Carlow"
29,carlow,275000, Detached House,"27 Milford Park, Ballinabranagh, Co. Carlow"
30,carlow,159000, End of Terrace House,"26 Wolseley Village, Tullow, Co. Carlow"
31,carlow,129950, Detached House,"Coolroe, Ardattin, Co. Carlow"
32,carlow,320000, Detached House,"10 Park Gate, Shillelagh Road, Tullow, Co. Carlow"
33,carlow,204500, Semi-Detached House,"90 Brownes Hill Wood, Browneshill, Carlow, Carlow Town, Co. Carlow"
34,carlow,349000, Detached House,"Haroldstown, Tobinstown, Tullow, Co. Carlow"
35,carlow,184500, Semi-Detached House,"5 Gort na Greine, Ballinabranna, Ballinabranagh, Co. Carlow"
36,carlow,275000, Detached House,"Upper Staplestown Road, Carlow Town, Co. Carlow"
37,carlow,189950, Detached House,"19 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow"
38,carlow,100000, Semi-Detached House,"NO 66 St. Bridget's Crescent, Bagenalstown, Co. Carlow"
39,carlow,850000, Detached House,"The View, Bannagagole, Oldleighlin, Co. Carlow"
40,carlow,174000, Detached House,"28 The Downs, Pollerton, Carlow Town, Co. Carlow"
41,carlow,228500, Detached House,"14 The Glen, Mortarstown, Carlow Town, Co. Carlow"
42,carlow,159950, Terraced House,"71 Friars Green, Tullow Road, Carlow, Carlow Town, Co. Carlow"
43,carlow,185000, Semi-Detached House,"Dolmen Court, Browneshill, Carlow Town, Co. Carlow"
44,carlow,229000, Semi-Detached House,"100 Heatherhill Avenue, Graiguecullen, Carlow Town, Co. Carlow"
45,carlow,198000, Semi-Detached House,"12 Cluain Bui, Quinagh, Carlow, Carlow Town, Co. Carlow"
46,carlow,198000, Semi-Detached House,"11 Cluain Bui, Quinagh, Carlow, Carlow Town, Co. Carlow"
47,carlow,239000, Semi-Detached House,"New Development Castleoaks, Dublin Road, Carlow Town, Co. Carlow"
48,carlow,287500, Detached House,"170 Heatherhill Avenue, Graiguecullen, Carlow, Carlow Town, Co. Carlow"
49,carlow,255000, Detached House,"16 The Glen, Mortarstown, Carlow, Carlow Town, Co. Carlow"
50,carlow,140000, Terraced House,"31 Wolseley Court, Tullow, Co. Carlow"
51,carlow,149500, End of Terrace House,"49 Dereen Heights, Tullow Road, Carlow, Carlow Town, Co. Carlow"
52,carlow,245000, Semi-Detached House,"112 Brownshill Wood, Brownshill Road, Carlow Town, Co. Carlow"
53,carlow,220000, Semi-Detached House,"43 Woodglade, Fenagh, Co. Carlow"
54,carlow,198500, Semi-Detached House,"41 The Paddocks, Browneshill, Carlow Town, Co. Carlow"
55,carlow,289950, Detached House,"16 Sandhills, Hacketstown Road, Carlow, Carlow Town, Co. Carlow"
56,carlow,159500, Semi-Detached House,"14 Bruach na Habhainn, Maganey, Carlow Town, Co. Carlow"
57,carlow,104950, Terraced House,"134 The Laurels, Tullow Road, Carlow Town, Co. Carlow"
58,carlow,249000, Detached House,"Rathbawn, Tullow, Co. Carlow"
59,carlow,275000, Detached House,"62 Park gate, Tullow, Co. Carlow"
60,carlow,239000, Detached House,"Newly Released, Park Gate, Shillelagh Road, Tullow, Co. Carlow"
61,carlow,219000, Detached House,"61 CollegeWood Gardens, Carlow Town, Co. Carlow"
62,carlow,150000, Terraced House,"43 Pairc Mhuire, Bagenalstown, Co. Carlow"
63,carlow,245000, Detached House,"Craan, Clonegal, Co. Carlow"
64,carlow,120000, End of Terrace House,"145 The Laurels, Tullow Road, Carlow Town, Co. Carlow"
65,carlow,179000, Detached House,"Heather Cottage, Rutland Terrace, Bennekerry, Co. Carlow"
66,carlow,175000, Semi-Detached House,"100 Cluain Bui, Carlow Town, Co. Carlow"
67,carlow,199500, Detached House,"1 Schoolhouse Gate, Ballinkillin, Co. Carlow"
68,carlow,267500, Detached House,"52 Milford Park, Ballinabrannagh, Milford, Carlow, Carlow Town, Co. Carlow"
69,carlow,215000, Semi-Detached House,"17 Park Rise, Phelim Wood, Tullow, Co. Carlow"
70,carlow,205000, Detached House,"20 Woodglade, Fenagh, Co. Carlow"
71,carlow,325000, Detached House,"Castlegrace, Kilbride, Ballon, Co. Carlow"
72,carlow,299950, Detached House,"8a Bestfield, Athy Road, Carlow, Carlow Town, Co. Carlow"
73,carlow,189950, Semi-Detached House,"53 Spindlewood, Graiguecullen, Carlow Town, Co. Carlow"
74,carlow,190000, Detached House,"Ballysallagh Upper, Hacketstown, Co. Carlow"
75,carlow,260000, Detached House,"Knockmoyle House, Crossneen, Carlow Town, Co. Carlow"
76,carlow,149000, Semi-Detached House,"49 Dereen Heights, Tullow Road R93 E3C2, Carlow Town, Co. Carlow"
77,carlow,285000, Detached House,"Ballinakilbeg, Bennekerry, Carlow, Carlow Town, Co. Carlow"
78,carlow,140000, Detached House,"Ballykealy Lane, Ballon, Co. Carlow"
79,carlow,295000, Detached House,"46 Lime Grove, Palatine, Co. Carlow"
80,carlow,240000, Detached House,"Rath Abhainn, Kilkenny Road, Carlow Town, Co. Carlow"
81,carlow,300000, Detached House,"83 Park Gate, Shillelagh Rd, Tullow, Carlow Town, Co. Carlow"
82,carlow,135000, Terraced House,"45 Graigowen, Tullow, Co. Carlow"
83,carlow,80000, Detached House,"Aughnaglear, Graiguenamanagh, Co. Carlow"
84,carlow,429950, Detached House,"R93 N8K1 Hollymount, Carlow Town, Co. Carlow"
85,carlow,185000, Semi-Detached House,"30 Springfield Park, Burrin Road, Carlow Town, Co. Carlow"
86,carlow,287500, Detached House,"The Stonehouse Newtown, Borris, Co. Carlow"
87,carlow,155000, Terraced House,"50 Woodglade, Fenagh, Co. Carlow"
88,carlow,130000, Terraced House,"26 Father Murphy Terrace Dublin Road, Tullow, Co. Carlow"
89,carlow,265000, Detached House,"Aghwater, Bennekerry, Carlow Town, Co. Carlow"
90,carlow,284000, Detached House,"55 Highfield, Dublin Road R93 YY45, Carlow Town, Co. Carlow"
91,carlow,285000, Detached House,"24 Highfield Dublin Rd., Carlow Town, Co. Carlow"
92,carlow,289000, Detached House,"Kilbride, Tullow, Co. Carlow"
93,carlow,175000, Semi-Detached House,"Springhill Court, Graiguecullen, Carlow Town, Co. Carlow"
94,carlow,239000, Semi-Detached House,"Bramble Avenue, Castleoaks, Dublin Road, Carlow Town, Co. Carlow"
95,carlow,275000, Semi-Detached House,"The Green, Hacketstown, Co. Carlow"
96,carlow,349950, Detached House,"Slyguff, Bagenalstown, Co. Carlow"
97,carlow,345000, Detached House,"Brambley Cottage, Rossmore, Carlow Town, Co. Carlow"
